AMS300H1-S|LEC0101|Montange, L.|###!###!UC 85$13:00~15:00!###!###
AMS310H1-F|LEC0101|Mishler, M.|###!###!SS 2105$13:00~15:00!###!###
AMS311H1-S|LEC0101|Montange, L.|###!BL 112$14:00~16:00!###!###!###
AMS312H1-F|LEC0101|Tanenhaus, S.|###!###!###!SS 2110$11:00~13:00!###
AMS313H1-F|LEC0101|Maile, U.|###!###!###!SK 548$14:00~16:00!###
AMS400H1-S|LEC0101|Rahr, A.|###!###!###!WE 74$13:00~15:00!###
AMS401H1-F|LEC0101|Montange, L.|###!###!SS 2101$10:00~12:00!###!###
AMS402H1-S|LEC0101|Rahr, A.|###!BL 327$11:00~13:00!###!###!###
AMS494H1-F|LEC0101|NA|###!###!###!###!###
AMS494H1-S|LEC0101|NA|###!###!###!###!###
AMS495Y1-Y|LEC0101|Edmonds, K.|###!###!###!###!###
ANA300Y1-Y|LEC0101|Alexson, T.Ballyk, D.|MS 2158;MS 2158$13:00~15:00!###!###!###!MS 2158;MS 2158$13:00~15:00
ANA301H1-S|LEC0101|Bentley, D.|###!MS 2158$13:00~15:00!###!MS 2158$13:00~15:00!###
ANA400H1-S|LEC0101|Bentley, D.|###!Contact DEPT$09:00~11:00!###!###!###
ANA411H1-S|LEC0101|Laprade, J.|###!###!UY 17198$09:00~12:00!###!###
ANA420H1-S|LEC0101|Faiz, M.|###!###!Contact DEPT$10:00~12:00!###!###
ANA498Y1-Y|LEC0101|Morshead, C.|###!###!###!###!###
ANT100Y1-Y|LEC2501|Chazan, M.Kalmar, I.Lehman, S.|###!###!###!CH ---;CH ---$18:00~20:00!###
ANT100Y1-Y|LEC5101|Chazan, M.Kalmar, I.Lehman, S.|###!###!###!CH ---;CH ---$18:00~20:00!###
ANT192H1-F|LEC0101|Dave, N.|###!###!OI 3312$16:00~18:00!###!###
ANT193H1-F|LEC0101|Duke, H.|###!###!BA B026$14:00~16:00!###!###
ANT194H1-S|LEC0101|Satsuka, S.|AP 120$12:00~14:00!###!###!###!###
ANT200Y1-Y|LEC0101|Duke, H.Jennings, J.|LM 162;LM 162$16:00~18:00!###!###!###!###
ANT203Y1-Y|LEC0101|Ramsay, M.Viola, T.|###!UC 140;UC 140$10:00~12:00!###!###!###
ANT204H1-S|LEC0101|Ozcan, O.|NA$12:00~14:00!###!###!###!###
ANT205H1-F|LEC0101|Taylor, J.|###!SS 2117$14:00~16:00!###!###!###
ANT207H1-F|LEC0101|Chadha, A.|###!MP 202$10:00~12:00!###!###!###
ANT208H1-S|LEC0101|Song, R.|###!###!NA$14:00~16:00!###!###
ANT253H1-F|LEC0101|Yeung, S.|NA$12:00~14:00!###!###!###!###
ANT315H1-S|LEC0101|Jolicoeur, P.|###!###!###!SS 2106$14:00~16:00!###
ANT318H1-S|LEC0101|Shaw-Muller, K.|###!###!SS 2108$12:00~14:00!###!###
ANT329H1-S|LEC0101|Yeung, S.|###!###!###!SS 1083$12:00~14:00!###
ANT335Y1-F|LEC0101|Begun, D.|SS 1085$10:00~12:00!###!###!###!###
ANT336H1-S|LEC0101|Viola, T.|SS 1087$10:00~12:00!###!###!###!###
ANT337H1-S|LEC0101|Cameron, M.|###!###!AP 130$10:00~12:00!###!###
ANT342H1-S|LEC0101|Allen, A.|###!###!###!MP 137$10:00~12:00!###
ANT343H1-S|LEC0101|Nixon, K.|###!NF 119$10:00~12:00!###!###!###
ANT344H1-F|LEC0101|Ozcan, O.|###!###!SS 2127$12:00~14:00!###!###
ANT345H1-F|LEC5101|Chadha, A.|###!###!BL 313$18:00~20:00!###!###
ANT347H1-S|LEC0101|Sammons, E.|###!###!###!MP 137$14:00~16:00!###
ANT348H1-S|LEC0101|Maxwell, K.|NA$14:00~16:00!###!###!###!###
ANT357H1-F|LEC0101|Taylor, J.|###!###!###!SS 2127$14:00~16:00!###
ANT364H1-S|LEC0101|Cohen, S.|UC 52$16:00~18:00!###!###!###!###
ANT366H1-S|LEC0101|Song, J.|###!###!###!NA$16:00~18:00!###
ANT370H1-F|LEC0101|Napolitano, V.|SS 2106$10:00~12:00!###!###!###!###
ANT378H1-S|LEC0101|NA|###!###!###!###!###
ANT380H1-F|LEC0101|Barac, V.|###!###!AP 120$14:00~17:00!###!###
ANT384H1-F|LEC0101|Kassamali, S.|###!SS 2105$16:00~18:00!###!###!###
ANT384H1-S|LEC0101|Dave, N.|###!###!RW 140$16:00~18:00!###!###
ANT385H1-S|LEC0101|Chadha, A.|###!SS 1071$16:00~18:00!###!###!###
ANT390H1-F|LEC0101|Montgomery, L.|###!###!SS 1073$14:00~16:00!###!###
ANT390H1-S|LEC0101|NA|###!###!###!###!###
ANT406H1-S|LEC0101|Duke, H.|###!###!AP 140$14:00~16:00!###!###
ANT407H1-F|LEC0101|Swenson, E.|###!###!###!OI 2289$14:00~16:00!###
ANT411H1-S|LEC0101|Duke, H.|###!###!###!BA B024$10:00~12:00!###
